action_id	session_id	project_id	action_type	action_params	parent_display_id	child_display_id	solution
1	0_0	0	filter	{'field': 'http://www.wikidata.org/prop/direct/P31', 'num_triples': 2, 'num_filters': 1, 'limit': None, 'offset': None, 'optional': 1, 'union': 0}	1	2	1
2	0_0	0	filter	{'field': 'http://www.wikidata.org/entity/P31', 'num_triples': 2, 'num_filters': 1, 'limit': None, 'offset': None, 'optional': 1, 'union': 0}	2	3	1
3	0_0	0	filter	{'field': 'http://www.wikidata.org/prop/direct/P31', 'num_triples': 2, 'num_filters': 1, 'limit': 1000000, 'offset': None, 'optional': 1, 'union': 0}	3	4	1
4	0_0	0	filter	{'field': 'http://www.wikidata.org/prop/direct/P31', 'num_triples': 2, 'num_filters': 1, 'limit': 500000, 'offset': None, 'optional': 1, 'union': 0}	4	5	1
5	0_1	0	filter	{'field': 'http://www.wikidata.org/prop/direct/P31', 'num_triples': 6, 'num_filters': 2, 'limit': None, 'offset': None, 'optional': 4, 'union': 0}	6	7	1
6	0_1	0	filter	{'field': 'http://www.wikidata.org/prop/direct/P31', 'num_triples': 6, 'num_filters': 2, 'limit': None, 'offset': None, 'optional': 4, 'union': 0}	7	8	1
7	0_1	0	filter	{'field': 'http://www.wikidata.org/prop/direct/P31', 'num_triples': 6, 'num_filters': 2, 'limit': None, 'offset': None, 'optional': 4, 'union': 0}	8	9	1
8	0_1	0	filter	{'field': 'http://www.wikidata.org/prop/direct/P31', 'num_triples': 7, 'num_filters': 3, 'limit': None, 'offset': None, 'optional': 4, 'union': 0}	9	10	1
9	0_1	0	filter	{'field': 'http://www.wikidata.org/prop/direct/P31', 'num_triples': 7, 'num_filters': 3, 'limit': None, 'offset': None, 'optional': 4, 'union': 0}	10	11	1
10	0_1	0	filter	{'field': 'http://www.wikidata.org/prop/P31', 'num_triples': 6, 'num_filters': 3, 'limit': None, 'offset': None, 'optional': 4, 'union': 0}	11	12	1
11	0_2	0	filter	{'field': 'http://www.wikidata.org/entity/P31', 'num_triples': 2, 'num_filters': 1, 'limit': None, 'offset': None, 'optional': 1, 'union': 0}	13	14	1
12	0_2	0	filter	{'field': 'http://www.wikidata.org/entity/P31', 'num_triples': 2, 'num_filters': 1, 'limit': 50, 'offset': None, 'optional': 1, 'union': 0}	14	15	1
13	0_2	0	filter	{'field': 'http://www.wikidata.org/prop/direct/P31', 'num_triples': 2, 'num_filters': 1, 'limit': 50, 'offset': None, 'optional': 1, 'union': 0}	15	16	1
14	0_3	0	filter	{'field': 'http://www.wikidata.org/prop/P31', 'num_triples': 7, 'num_filters': 4, 'limit': None, 'offset': None, 'optional': 5, 'union': 0}	17	18	1
15	0_3	0	filter	{'field': 'http://www.wikidata.org/prop/P31', 'num_triples': 7, 'num_filters': 4, 'limit': None, 'offset': None, 'optional': 5, 'union': 0}	18	19	1
16	0_3	0	filter	{'field': 'http://www.wikidata.org/prop/P31', 'num_triples': 7, 'num_filters': 4, 'limit': None, 'offset': None, 'optional': 5, 'union': 0}	19	20	1
17	0_3	0	filter	{'field': 'http://www.wikidata.org/prop/P31', 'num_triples': 7, 'num_filters': 4, 'limit': None, 'offset': None, 'optional': 5, 'union': 0}	20	21	1
18	0_3	0	filter	{'field': 'http://www.wikidata.org/prop/P31', 'num_triples': 7, 'num_filters': 4, 'limit': None, 'offset': None, 'optional': 5, 'union': 0}	21	22	1
19	0_3	0	filter	{'field': 'http://www.wikidata.org/prop/P31', 'num_triples': 7, 'num_filters': 4, 'limit': None, 'offset': None, 'optional': 5, 'union': 0}	22	23	1
20	0_4	0	filter	{'field': 'http://www.wikidata.org/prop/direct/P218', 'num_triples': 1, 'num_filters': 1, 'limit': None, 'offset': None, 'optional': 0, 'union': 0}	24	25	1
21	0_4	0	extension	{'field': 'http://www.wikidata.org/prop/direct/P31', 'num_triples': 1, 'num_filters': 0, 'limit': None, 'offset': None, 'optional': 0, 'union': 0}	25	26	1
22	0_4	0	extension	{'field': 'http://www.wikidata.org/prop/direct/P31', 'num_triples': 1, 'num_filters': 0, 'limit': 100, 'offset': None, 'optional': 0, 'union': 0}	26	27	1
23	0_4	0	join	{'field': 'http://www.wikidata.org/prop/direct/P31', 'num_triples': 2, 'num_filters': 0, 'limit': 100, 'offset': None, 'optional': 1, 'union': 0}	27	28	1
24	0_4	0	extension	{'field': 'http://www.wikidata.org/prop/direct/P31', 'num_triples': 2, 'num_filters': 0, 'limit': 100, 'offset': None, 'optional': 0, 'union': 0}	28	29	1
25	0_5	0	extension	{'field': 'http://www.wikidata.org/prop/direct/P31', 'num_triples': 3, 'num_filters': 0, 'limit': None, 'offset': None, 'optional': 0, 'union': 0}	30	31	1
26	0_5	0	extension	{'field': 'http://www.wikidata.org/prop/direct/P31', 'num_triples': 3, 'num_filters': 0, 'limit': None, 'offset': None, 'optional': 0, 'union': 0}	31	32	1
27	0_5	0	extension	{'field': 'http://www.wikidata.org/prop/direct/P31', 'num_triples': 3, 'num_filters': 0, 'limit': None, 'offset': None, 'optional': 0, 'union': 0}	32	33	1
28	0_6	0	join	{'field': 'http://www.wikidata.org/prop/direct/P31', 'num_triples': 2, 'num_filters': 0, 'limit': None, 'offset': None, 'optional': 1, 'union': 0}	34	35	1
29	0_6	0	join	{'field': 'http://www.wikidata.org/prop/direct/P31', 'num_triples': 3, 'num_filters': 0, 'limit': None, 'offset': None, 'optional': 2, 'union': 0}	35	36	1
30	0_6	0	join	{'field': 'http://www.wikidata.org/prop/direct/P31', 'num_triples': 3, 'num_filters': 0, 'limit': None, 'offset': None, 'optional': 2, 'union': 0}	36	37	1
31	1_0	1	join	{'field': 'http://www.wikidata.org/prop/direct/P84', 'num_triples': 10, 'num_filters': 0, 'limit': None, 'offset': None, 'optional': 10, 'union': 0}	38	39	1
32	1_0	1	join	{'field': 'http://www.wikidata.org/prop/direct/P84', 'num_triples': 8, 'num_filters': 0, 'limit': None, 'offset': None, 'optional': 8, 'union': 0}	39	40	1
33	1_0	1	join	{'field': 'http://www.wikidata.org/prop/direct/P84', 'num_triples': 7, 'num_filters': 0, 'limit': None, 'offset': None, 'optional': 7, 'union': 0}	40	41	1
34	1_0	1	join	{'field': 'http://www.wikidata.org/prop/direct/P84', 'num_triples': 7, 'num_filters': 0, 'limit': None, 'offset': None, 'optional': 6, 'union': 0}	41	42	1
35	1_0	1	join	{'field': 'http://www.wikidata.org/prop/direct/P84', 'num_triples': 5, 'num_filters': 0, 'limit': None, 'offset': None, 'optional': 4, 'union': 0}	42	43	1
36	1_0	1	join	{'field': 'http://www.wikidata.org/prop/direct/P84', 'num_triples': 4, 'num_filters': 0, 'limit': None, 'offset': None, 'optional': 3, 'union': 0}	43	44	1
37	1_0	1	join	{'field': 'http://www.wikidata.org/prop/direct/P84', 'num_triples': 4, 'num_filters': 0, 'limit': None, 'offset': None, 'optional': 3, 'union': 0}	44	45	1
38	1_0	1	join	{'field': 'http://www.wikidata.org/prop/direct/P84', 'num_triples': 4, 'num_filters': 0, 'limit': None, 'offset': None, 'optional': 3, 'union': 0}	45	46	1
39	1_0	1	join	{'field': 'http://www.wikidata.org/prop/direct/P84', 'num_triples': 4, 'num_filters': 0, 'limit': None, 'offset': None, 'optional': 3, 'union': 0}	46	47	1
40	1_0	1	join	{'field': 'http://www.wikidata.org/prop/direct/P84', 'num_triples': 4, 'num_filters': 0, 'limit': None, 'offset': None, 'optional': 3, 'union': 0}	47	48	1
41	1_0	1	join	{'field': 'http://www.wikidata.org/prop/direct/P84', 'num_triples': 2, 'num_filters': 0, 'limit': None, 'offset': None, 'optional': 1, 'union': 0}	48	49	1
42	1_1	1	extension	{'field': 'http://www.wikidata.org/prop/direct/P31', 'num_triples': 1, 'num_filters': 0, 'limit': 1000, 'offset': None, 'optional': 0, 'union': 0}	50	51	1
43	1_1	1	join	{'field': 'http://www.wikidata.org/prop/direct/P31', 'num_triples': 2, 'num_filters': 0, 'limit': None, 'offset': None, 'optional': 1, 'union': 0}	51	52	1
44	1_1	1	filter	{'field': 'http://www.wikidata.org/prop/direct/P31', 'num_triples': 1, 'num_filters': 1, 'limit': 1000, 'offset': None, 'optional': 0, 'union': 0}	52	53	1
45	1_1	1	extension	{'field': 'http://www.wikidata.org/prop/direct/P31', 'num_triples': 1, 'num_filters': 0, 'limit': 1000, 'offset': None, 'optional': 0, 'union': 0}	53	54	1
46	1_1	1	join	{'field': 'http://www.wikidata.org/prop/direct/P31', 'num_triples': 2, 'num_filters': 0, 'limit': None, 'offset': None, 'optional': 1, 'union': 0}	54	55	1
47	1_1	1	join	{'field': 'http://www.wikidata.org/prop/direct/P31', 'num_triples': 3, 'num_filters': 0, 'limit': None, 'offset': None, 'optional': 2, 'union': 0}	55	56	1
48	1_1	1	join	{'field': 'http://www.wikidata.org/prop/direct/P179', 'num_triples': 3, 'num_filters': 0, 'limit': None, 'offset': None, 'optional': 2, 'union': 0}	56	57	1
49	1_2	1	filter	{'field': 'http://www.wikidata.org/prop/direct/P31', 'num_triples': 7, 'num_filters': 3, 'limit': 50, 'offset': None, 'optional': 2, 'union': 0}	58	59	1
50	1_2	1	filter	{'field': 'http://www.wikidata.org/prop/direct/P31', 'num_triples': 7, 'num_filters': 2, 'limit': 50, 'offset': None, 'optional': 2, 'union': 0}	59	60	1
51	1_2	1	filter	{'field': 'http://www.wikidata.org/prop/direct/P31', 'num_triples': 6, 'num_filters': 2, 'limit': 50, 'offset': None, 'optional': 2, 'union': 0}	60	61	1
52	1_2	1	filter	{'field': 'http://www.wikidata.org/prop/direct/P31', 'num_triples': 5, 'num_filters': 2, 'limit': 50, 'offset': None, 'optional': 2, 'union': 0}	61	62	1
53	1_2	1	filter	{'field': 'http://www.wikidata.org/prop/direct/P31', 'num_triples': 4, 'num_filters': 2, 'limit': 50, 'offset': None, 'optional': 2, 'union': 0}	62	63	1
54	1_2	1	filter	{'field': 'http://www.wikidata.org/prop/direct/P279', 'num_triples': 5, 'num_filters': 2, 'limit': 50, 'offset': None, 'optional': 2, 'union': 0}	63	64	1
55	1_2	1	filter	{'field': 'http://www.wikidata.org/prop/direct/P279', 'num_triples': 4, 'num_filters': 2, 'limit': 50, 'offset': None, 'optional': 2, 'union': 0}	64	65	1
56	1_2	1	filter	{'field': 'http://www.wikidata.org/prop/direct/P279', 'num_triples': 3, 'num_filters': 2, 'limit': 50, 'offset': None, 'optional': 2, 'union': 0}	65	66	1
57	1_3	1	extension	{'field': 'http://www.wikidata.org/prop/direct/P31', 'num_triples': 4, 'num_filters': 0, 'limit': None, 'offset': None, 'optional': 0, 'union': 0}	67	68	1
58	1_3	1	filter	{'field': 'http://www.wikidata.org/prop/direct/P31', 'num_triples': 4, 'num_filters': 1, 'limit': None, 'offset': None, 'optional': 0, 'union': 0}	68	69	1
59	1_3	1	filter	{'field': 'http://www.wikidata.org/prop/direct/P31', 'num_triples': 4, 'num_filters': 1, 'limit': None, 'offset': None, 'optional': 0, 'union': 0}	69	70	1
60	1_3	1	filter	{'field': 'http://www.wikidata.org/prop/direct/P31', 'num_triples': 4, 'num_filters': 1, 'limit': None, 'offset': None, 'optional': 0, 'union': 0}	70	71	1
61	1_3	1	extension	{'field': 'http://www.wikidata.org/prop/direct/P31', 'num_triples': 4, 'num_filters': 0, 'limit': None, 'offset': None, 'optional': 0, 'union': 0}	71	72	1
62	1_3	1	filter	{'field': 'http://www.wikidata.org/prop/direct/P31', 'num_triples': 4, 'num_filters': 1, 'limit': None, 'offset': None, 'optional': 0, 'union': 0}	72	73	1
63	1_3	1	filter	{'field': 'http://www.wikidata.org/prop/direct/P31', 'num_triples': 4, 'num_filters': 1, 'limit': None, 'offset': None, 'optional': 0, 'union': 0}	73	74	1
64	1_4	1	extension	{'field': 'http://www.wikidata.org/prop/direct/P31', 'num_triples': 3, 'num_filters': 0, 'limit': 10, 'offset': None, 'optional': 0, 'union': 0}	75	76	1
65	1_4	1	extension	{'field': 'http://www.wikidata.org/prop/direct/P31', 'num_triples': 3, 'num_filters': 0, 'limit': 10, 'offset': None, 'optional': 0, 'union': 0}	76	77	1
66	1_5	1	filter	{'field': 'http://www.wikidata.org/prop/direct/P31', 'num_triples': 6, 'num_filters': 1, 'limit': None, 'offset': None, 'optional': 4, 'union': 0}	78	79	1
67	1_5	1	filter	{'field': 'http://www.wikidata.org/prop/direct/P31', 'num_triples': 6, 'num_filters': 1, 'limit': None, 'offset': None, 'optional': 4, 'union': 0}	79	80	1
68	1_5	1	filter	{'field': 'http://www.wikidata.org/prop/direct/P31', 'num_triples': 6, 'num_filters': 1, 'limit': None, 'offset': None, 'optional': 4, 'union': 0}	80	81	1
69	1_6	1	extension	{'field': 'http://www.wikidata.org/prop/direct/P106', 'num_triples': 3, 'num_filters': 0, 'limit': 100, 'offset': None, 'optional': 0, 'union': 0}	82	83	1
70	1_6	1	filter	{'field': 'http://www.wikidata.org/prop/direct/P106', 'num_triples': 4, 'num_filters': 1, 'limit': 100, 'offset': None, 'optional': 0, 'union': 0}	83	84	1
71	2_0	2	extension	{'field': 'http://www.wikidata.org/prop/direct/P31', 'num_triples': 2, 'num_filters': 0, 'limit': None, 'offset': None, 'optional': 0, 'union': 0}	85	86	1
72	2_0	2	join	{'field': 'http://www.wikidata.org/prop/direct/P31', 'num_triples': 2, 'num_filters': 0, 'limit': None, 'offset': None, 'optional': 1, 'union': 0}	86	87	1
73	2_0	2	join	{'field': 'http://www.wikidata.org/prop/direct/P31', 'num_triples': 3, 'num_filters': 0, 'limit': None, 'offset': None, 'optional': 2, 'union': 0}	87	88	1
74	2_1	2	join	{'field': 'http://www.wikidata.org/prop/direct/P69', 'num_triples': 6, 'num_filters': 0, 'limit': 10, 'offset': None, 'optional': 1, 'union': 0}	89	90	1
75	2_1	2	join	{'field': 'http://www.wikidata.org/prop/direct/P69', 'num_triples': 5, 'num_filters': 0, 'limit': None, 'offset': None, 'optional': 1, 'union': 0}	90	91	1
76	2_1	2	join	{'field': 'http://www.wikidata.org/prop/direct/P69', 'num_triples': 5, 'num_filters': 0, 'limit': 10, 'offset': None, 'optional': 1, 'union': 0}	91	92	1
77	2_2	2	extension	{'field': 'http://www.wikidata.org/prop/direct/P31', 'num_triples': 3, 'num_filters': 0, 'limit': 1, 'offset': None, 'optional': 0, 'union': 0}	93	94	1
78	2_2	2	extension	{'field': 'http://www.wikidata.org/prop/direct/P31', 'num_triples': 3, 'num_filters': 0, 'limit': 10, 'offset': None, 'optional': 0, 'union': 0}	94	95	1
79	2_2	2	extension	{'field': 'http://www.wikidata.org/prop/direct/P31', 'num_triples': 3, 'num_filters': 0, 'limit': 10, 'offset': None, 'optional': 0, 'union': 0}	95	96	1
80	2_2	2	extension	{'field': 'http://www.wikidata.org/prop/direct/P31', 'num_triples': 2, 'num_filters': 0, 'limit': 10, 'offset': None, 'optional': 0, 'union': 0}	96	97	1
81	2_3	2	filter	{'field': 'http://www.wikidata.org/prop/direct/P31', 'num_triples': 7, 'num_filters': 3, 'limit': 50, 'offset': None, 'optional': 2, 'union': 0}	98	99	1
82	2_3	2	filter	{'field': 'http://www.wikidata.org/prop/direct/P31', 'num_triples': 7, 'num_filters': 2, 'limit': 50, 'offset': None, 'optional': 2, 'union': 0}	99	100	1
83	2_3	2	filter	{'field': 'http://www.wikidata.org/prop/direct/P31', 'num_triples': 6, 'num_filters': 2, 'limit': 50, 'offset': None, 'optional': 2, 'union': 0}	100	101	1
84	2_3	2	filter	{'field': 'http://www.wikidata.org/prop/direct/P31', 'num_triples': 5, 'num_filters': 2, 'limit': 50, 'offset': None, 'optional': 2, 'union': 0}	101	102	1
85	2_3	2	filter	{'field': 'http://www.wikidata.org/prop/direct/P31', 'num_triples': 4, 'num_filters': 2, 'limit': 50, 'offset': None, 'optional': 2, 'union': 0}	102	103	1
86	2_3	2	filter	{'field': 'http://www.wikidata.org/prop/direct/P31', 'num_triples': 4, 'num_filters': 2, 'limit': 50, 'offset': None, 'optional': 2, 'union': 0}	103	104	1
87	2_3	2	filter	{'field': 'http://www.wikidata.org/prop/direct/P31', 'num_triples': 4, 'num_filters': 2, 'limit': 50, 'offset': None, 'optional': 2, 'union': 0}	104	105	1
88	2_3	2	filter	{'field': 'http://www.wikidata.org/prop/direct/P31', 'num_triples': 4, 'num_filters': 2, 'limit': 50, 'offset': None, 'optional': 2, 'union': 0}	105	106	1
89	2_3	2	filter	{'field': 'http://www.wikidata.org/prop/direct/P31', 'num_triples': 4, 'num_filters': 2, 'limit': 50, 'offset': None, 'optional': 2, 'union': 0}	106	107	1
90	2_3	2	filter	{'field': 'http://www.wikidata.org/prop/direct/P279', 'num_triples': 4, 'num_filters': 2, 'limit': 50, 'offset': None, 'optional': 2, 'union': 0}	107	108	1
91	2_3	2	filter	{'field': 'http://www.wikidata.org/prop/direct/P279', 'num_triples': 4, 'num_filters': 2, 'limit': 50, 'offset': None, 'optional': 2, 'union': 0}	108	109	1
92	2_3	2	filter	{'field': 'http://www.wikidata.org/prop/direct/P279', 'num_triples': 5, 'num_filters': 2, 'limit': 50, 'offset': None, 'optional': 2, 'union': 0}	109	110	1
93	2_3	2	filter	{'field': 'http://www.wikidata.org/prop/direct/P279', 'num_triples': 4, 'num_filters': 2, 'limit': 50, 'offset': None, 'optional': 2, 'union': 0}	110	111	1
94	2_3	2	filter	{'field': 'http://www.wikidata.org/prop/direct/P279', 'num_triples': 3, 'num_filters': 2, 'limit': 50, 'offset': None, 'optional': 2, 'union': 0}	111	112	1
95	2_4	2	filter	{'field': 'http://www.wikidata.org/prop/direct/P31', 'num_triples': 9, 'num_filters': 2, 'limit': 10, 'offset': None, 'optional': 1, 'union': 1}	113	114	1
96	2_4	2	filter	{'field': 'http://www.wikidata.org/prop/direct/P31', 'num_triples': 9, 'num_filters': 2, 'limit': 10, 'offset': None, 'optional': 1, 'union': 1}	114	115	1
97	2_4	2	filter	{'field': 'http://www.wikidata.org/prop/direct/P31', 'num_triples': 9, 'num_filters': 2, 'limit': 10, 'offset': None, 'optional': 1, 'union': 1}	115	116	1
98	2_5	2	extension	{'field': 'http://www.wikidata.org/prop/direct/P150', 'num_triples': 2, 'num_filters': 0, 'limit': None, 'offset': None, 'optional': 0, 'union': 0}	117	118	1
99	2_5	2	extension	{'field': 'http://www.wikidata.org/prop/direct/P131', 'num_triples': 1, 'num_filters': 0, 'limit': None, 'offset': None, 'optional': 0, 'union': 0}	118	119	1
100	2_5	2	extension	{'field': 'http://www.wikidata.org/prop/direct/P131', 'num_triples': 1, 'num_filters': 0, 'limit': None, 'offset': None, 'optional': 0, 'union': 0}	119	120	1
101	2_5	2	extension	{'field': 'http://www.wikidata.org/prop/direct/P131', 'num_triples': 1, 'num_filters': 0, 'limit': None, 'offset': None, 'optional': 0, 'union': 0}	120	121	1
102	2_6	2	union	{'field': 'http://www.wikidata.org/prop/direct/P31', 'num_triples': 0, 'num_filters': 0, 'limit': None, 'offset': None, 'optional': 0, 'union': 1}	122	123	1
103	2_6	2	union	{'field': 'http://www.wikidata.org/prop/direct/P31', 'num_triples': 0, 'num_filters': 0, 'limit': None, 'offset': None, 'optional': 0, 'union': 1}	123	124	1
104	2_6	2	union	{'field': 'http://www.wikidata.org/prop/direct/P31', 'num_triples': 0, 'num_filters': 0, 'limit': None, 'offset': None, 'optional': 1, 'union': 1}	124	125	1
105	2_6	2	union	{'field': 'http://www.wikidata.org/prop/direct/P31', 'num_triples': 0, 'num_filters': 0, 'limit': None, 'offset': None, 'optional': 1, 'union': 1}	125	126	1
106	2_6	2	union	{'field': 'http://www.wikidata.org/prop/direct/P31', 'num_triples': 0, 'num_filters': 0, 'limit': None, 'offset': None, 'optional': 0, 'union': 1}	126	127	1
107	2_6	2	union	{'field': 'http://www.wikidata.org/prop/direct/P31', 'num_triples': 1, 'num_filters': 0, 'limit': None, 'offset': None, 'optional': 0, 'union': 1}	127	128	1
108	2_6	2	union	{'field': 'http://www.wikidata.org/prop/direct/P31', 'num_triples': 0, 'num_filters': 0, 'limit': None, 'offset': None, 'optional': 0, 'union': 1}	128	129	1
109	2_6	2	union	{'field': 'http://www.wikidata.org/prop/direct/P31', 'num_triples': 0, 'num_filters': 0, 'limit': None, 'offset': None, 'optional': 0, 'union': 1}	129	130	1
110	3_0	3	join	{'field': 'http://www.wikidata.org/prop/direct/P31', 'num_triples': 4, 'num_filters': 0, 'limit': 1000, 'offset': None, 'optional': 1, 'union': 0}	131	132	1
111	3_0	3	join	{'field': 'http://www.wikidata.org/prop/direct/P31', 'num_triples': 4, 'num_filters': 0, 'limit': 1000, 'offset': None, 'optional': 1, 'union': 0}	132	133	1
112	3_0	3	join	{'field': 'http://www.wikidata.org/prop/direct/P31', 'num_triples': 4, 'num_filters': 0, 'limit': 1000, 'offset': None, 'optional': 1, 'union': 0}	133	134	1
113	3_1	3	extension	{'field': 'http://www.wikidata.org/prop/direct/P2611', 'num_triples': 2, 'num_filters': 0, 'limit': None, 'offset': None, 'optional': 0, 'union': 0}	135	136	1
114	3_1	3	extension	{'field': 'http://www.wikidata.org/prop/direct/P2611', 'num_triples': 2, 'num_filters': 0, 'limit': 10, 'offset': None, 'optional': 0, 'union': 0}	136	137	1
115	3_1	3	extension	{'field': 'http://www.wikidata.org/prop/direct/P2611', 'num_triples': 3, 'num_filters': 0, 'limit': 10, 'offset': None, 'optional': 0, 'union': 0}	137	138	1
116	3_1	3	extension	{'field': 'http://www.wikidata.org/prop/direct/P2611', 'num_triples': 3, 'num_filters': 0, 'limit': 10, 'offset': None, 'optional': 0, 'union': 0}	138	139	1
117	3_1	3	extension	{'field': 'http://www.wikidata.org/prop/direct/P2611', 'num_triples': 2, 'num_filters': 0, 'limit': None, 'offset': None, 'optional': 0, 'union': 0}	139	140	1
118	3_2	3	extension	{'field': 'http://www.wikidata.org/prop/direct/P31', 'num_triples': 2, 'num_filters': 0, 'limit': None, 'offset': None, 'optional': 0, 'union': 0}	141	142	1
119	3_3	3	extension	{'field': 'http://www.wikidata.org/prop/direct/P138', 'num_triples': 2, 'num_filters': 0, 'limit': 200, 'offset': None, 'optional': 0, 'union': 0}	143	144	1
120	3_3	3	extension	{'field': 'http://www.wikidata.org/prop/direct/P138', 'num_triples': 2, 'num_filters': 0, 'limit': 200, 'offset': None, 'optional': 0, 'union': 0}	144	145	1
121	3_3	3	extension	{'field': 'http://www.wikidata.org/prop/direct/P138', 'num_triples': 2, 'num_filters': 0, 'limit': 200, 'offset': None, 'optional': 0, 'union': 0}	145	146	1
122	3_3	3	extension	{'field': 'http://www.wikidata.org/prop/direct/P138', 'num_triples': 2, 'num_filters': 0, 'limit': 200, 'offset': None, 'optional': 0, 'union': 0}	146	147	1
123	3_4	3	join	{'field': 'http://www.wikidata.org/prop/direct/P106', 'num_triples': 3, 'num_filters': 0, 'limit': 100, 'offset': None, 'optional': 1, 'union': 0}	148	149	1
124	3_4	3	join	{'field': 'http://www.wikidata.org/prop/direct/P106', 'num_triples': 4, 'num_filters': 0, 'limit': 100, 'offset': None, 'optional': 1, 'union': 0}	149	150	1
125	3_4	3	join	{'field': 'http://www.wikidata.org/prop/direct/P106', 'num_triples': 4, 'num_filters': 0, 'limit': 100000, 'offset': None, 'optional': 1, 'union': 0}	150	151	1
126	3_4	3	join	{'field': 'http://www.wikidata.org/prop/direct/P106', 'num_triples': 5, 'num_filters': 0, 'limit': 100000, 'offset': None, 'optional': 2, 'union': 0}	151	152	1
127	3_5	3	join	{'field': 'http://www.wikidata.org/prop/direct/P170', 'num_triples': 2, 'num_filters': 0, 'limit': None, 'offset': None, 'optional': 1, 'union': 0}	153	154	1
128	3_5	3	join	{'field': 'http://www.wikidata.org/prop/direct/P170', 'num_triples': 2, 'num_filters': 0, 'limit': None, 'offset': None, 'optional': 1, 'union': 0}	154	155	1
129	3_5	3	join	{'field': 'http://www.wikidata.org/prop/direct/P170', 'num_triples': 2, 'num_filters': 0, 'limit': None, 'offset': None, 'optional': 1, 'union': 0}	155	156	1
130	3_6	3	extension	{'field': 'http://www.wikidata.org/prop/direct/P31', 'num_triples': 1, 'num_filters': 0, 'limit': None, 'offset': None, 'optional': 0, 'union': 0}	157	158	1
131	3_6	3	extension	{'field': 'http://www.wikidata.org/prop/direct/P31', 'num_triples': 1, 'num_filters': 0, 'limit': 20, 'offset': None, 'optional': 0, 'union': 0}	158	159	1
132	3_6	3	extension	{'field': 'http://www.wikidata.org/prop/direct/P31', 'num_triples': 1, 'num_filters': 0, 'limit': 20, 'offset': None, 'optional': 0, 'union': 0}	159	160	1
133	3_7	3	extension	{'field': 'http://www.wikidata.org/entity/Q7604', 'num_triples': 0, 'num_filters': 0, 'limit': None, 'offset': None, 'optional': 0, 'union': 0}	161	162	1
134	3_7	3	filter	{'field': 'http://www.wikidata.org/entity/Q7604', 'num_triples': 0, 'num_filters': 1, 'limit': None, 'offset': None, 'optional': 0, 'union': 0}	162	163	1
135	3_7	3	extension	{'field': 'http://www.wikidata.org/entity/Q7604', 'num_triples': 0, 'num_filters': 0, 'limit': None, 'offset': None, 'optional': 0, 'union': 0}	163	164	1
136	3_7	3	filter	{'field': 'http://www.wikidata.org/entity/Q7604', 'num_triples': 0, 'num_filters': 1, 'limit': None, 'offset': None, 'optional': 0, 'union': 0}	164	165	1
137	3_7	3	extension	{'field': 'http://www.wikidata.org/entity/Q7604', 'num_triples': 0, 'num_filters': 0, 'limit': None, 'offset': None, 'optional': 0, 'union': 0}	165	166	1
138	3_7	3	extension	{'field': 'http://www.wikidata.org/entity/Q7604', 'num_triples': 0, 'num_filters': 0, 'limit': None, 'offset': None, 'optional': 0, 'union': 0}	166	167	1
139	3_7	3	filter	{'field': 'http://www.wikidata.org/entity/Q7604', 'num_triples': 0, 'num_filters': 1, 'limit': None, 'offset': None, 'optional': 0, 'union': 0}	167	168	1
140	3_7	3	filter	{'field': 'http://www.wikidata.org/entity/Q7604', 'num_triples': 0, 'num_filters': 1, 'limit': None, 'offset': None, 'optional': 0, 'union': 0}	168	169	1
141	3_7	3	filter	{'field': 'http://www.wikidata.org/entity/Q7604', 'num_triples': 0, 'num_filters': 1, 'limit': None, 'offset': None, 'optional': 0, 'union': 0}	169	170	1
142	3_7	3	filter	{'field': 'http://www.wikidata.org/entity/Q7604', 'num_triples': 0, 'num_filters': 1, 'limit': None, 'offset': None, 'optional': 0, 'union': 0}	170	171	1
143	3_7	3	filter	{'field': 'http://www.wikidata.org/entity/Q7604', 'num_triples': 1, 'num_filters': 1, 'limit': None, 'offset': None, 'optional': 0, 'union': 0}	171	172	1
144	3_7	3	extension	{'field': 'http://www.wikidata.org/entity/Q7604', 'num_triples': 1, 'num_filters': 0, 'limit': None, 'offset': None, 'optional': 0, 'union': 0}	172	173	1
145	3_8	3	extension	{'field': 'http://www.wikidata.org/prop/direct/P31', 'num_triples': 2, 'num_filters': 0, 'limit': None, 'offset': None, 'optional': 0, 'union': 0}	174	175	1
146	3_8	3	extension	{'field': 'http://www.wikidata.org/prop/direct/P31', 'num_triples': 2, 'num_filters': 0, 'limit': None, 'offset': None, 'optional': 0, 'union': 0}	175	176	1
147	3_8	3	extension	{'field': 'http://www.wikidata.org/prop/direct/P31', 'num_triples': 3, 'num_filters': 0, 'limit': None, 'offset': None, 'optional': 0, 'union': 0}	176	177	1
